CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run.py
MEM 613.503906 1701175013.8701
MEM 613.503906 1701175014.0037
MEM 613.503906 1701175014.1400
MEM 613.503906 1701175014.2749
MEM 613.503906 1701175014.4093
MEM 613.503906 1701175014.5431
MEM 613.761719 1701175014.6780
MEM 613.761719 1701175014.8117
MEM 613.761719 1701175014.9465
MEM 613.761719 1701175015.0806
MEM 613.761719 1701175015.2149
MEM 613.761719 1701175015.3481
MEM 613.761719 1701175015.4822
MEM 613.761719 1701175015.6160
MEM 613.761719 1701175015.7526
MEM 613.761719 1701175015.8862
MEM 613.761719 1701175016.0192
MEM 613.761719 1701175016.1529
MEM 613.761719 1701175016.2869
MEM 613.761719 1701175016.4208
MEM 613.761719 1701175016.5545
MEM 613.761719 1701175016.6883
MEM 613.761719 1701175016.8222
MEM 613.761719 1701175016.9560
MEM 613.761719 1701175017.0900
MEM 613.761719 1701175017.2226
MEM 613.761719 1701175017.3589
MEM 613.761719 1701175017.4932
MEM 613.761719 1701175017.6273
MEM 613.761719 1701175017.7611
MEM 613.761719 1701175017.8969
MEM 613.761719 1701175018.0316
MEM 613.761719 1701175018.1649
MEM 613.761719 1701175018.2979
MEM 613.761719 1701175018.4316
MEM 613.761719 1701175018.5645
MEM 613.761719 1701175018.6983
MEM 613.761719 1701175018.8331
MEM 613.761719 1701175018.9696
MEM 613.761719 1701175019.1044
MEM 613.761719 1701175019.2394
MEM 613.761719 1701175019.3740
MEM 613.761719 1701175019.5088
MEM 613.761719 1701175019.6430
MEM 613.761719 1701175019.7769
MEM 613.761719 1701175019.9114
MEM 613.761719 1701175020.0456
MEM 613.761719 1701175020.1797
MEM 613.761719 1701175020.3141
MEM 613.761719 1701175020.4508
MEM 613.820312 1701175020.5846
MEM 613.820312 1701175020.7186
MEM 613.820312 1701175020.8519
MEM 613.820312 1701175020.9856
MEM 613.820312 1701175021.1189
MEM 613.820312 1701175021.2524
MEM 613.820312 1701175021.3866
MEM 613.820312 1701175021.5204
MEM 613.820312 1701175021.6541
MEM 613.820312 1701175021.7883
MEM 613.820312 1701175021.9227
MEM 613.820312 1701175022.0594
MEM 613.820312 1701175022.1939
MEM 613.820312 1701175022.3283
MEM 613.820312 1701175022.4626
MEM 613.820312 1701175022.5971
MEM 613.820312 1701175022.7325
MEM 613.820312 1701175022.8670
MEM 613.820312 1701175023.0650
MEM 613.820312 1701175023.1998
MEM 613.820312 1701175023.3825
MEM 613.820312 1701175023.5142
MEM 613.820312 1701175023.6491
MEM 613.820312 1701175023.7828
MEM 613.820312 1701175023.9161
MEM 613.820312 1701175024.0490
MEM 613.820312 1701175024.1826
MEM 613.820312 1701175024.3159
MEM 613.820312 1701175024.4489
MEM 613.820312 1701175024.5822
MEM 613.820312 1701175024.7152
MEM 613.820312 1701175024.8485
MEM 613.820312 1701175024.9818
MEM 613.820312 1701175025.1150
MEM 613.820312 1701175025.2507
MEM 613.820312 1701175025.3843
MEM 613.820312 1701175025.5173
MEM 613.820312 1701175025.6506
MEM 613.820312 1701175025.7835
MEM 613.820312 1701175025.9166
MEM 613.820312 1701175026.0498
MEM 613.820312 1701175026.1832
MEM 613.820312 1701175026.3163
MEM 613.820312 1701175026.4501
MEM 613.820312 1701175026.5846
MEM 613.820312 1701175026.7195
MEM 613.820312 1701175026.8533
MEM 613.820312 1701175026.9867
MEM 613.820312 1701175027.1202
MEM 613.820312 1701175027.2536
MEM 613.820312 1701175027.3876
MEM 613.820312 1701175027.5215
MEM 613.820312 1701175027.6555
MEM 613.820312 1701175027.7890
MEM 613.820312 1701175027.9221
MEM 613.820312 1701175028.0550
MEM 613.820312 1701175028.1879
MEM 613.820312 1701175028.3227
MEM 613.820312 1701175028.4563
MEM 613.820312 1701175028.5895
MEM 613.820312 1701175028.7231
MEM 613.820312 1701175028.8562
