CMDLINE /Users/Q642074/miniconda3/envs/qiro/bin/python time_test_run.py
MEM 459.609375 1701179028.3292
MEM 459.609375 1701179028.4375
MEM 459.609375 1701179028.5447
MEM 459.609375 1701179028.6501
MEM 459.609375 1701179028.7581
MEM 452.750000 1701179028.8692
MEM 451.265625 1701179028.9772
MEM 451.625000 1701179029.0861
MEM 452.718750 1701179029.1939
MEM 453.578125 1701179029.3019
MEM 453.656250 1701179029.4099
MEM 453.656250 1701179029.5152
MEM 453.656250 1701179029.6231
MEM 453.656250 1701179029.7310
MEM 453.656250 1701179029.8389
MEM 452.437500 1701179029.9444
MEM 452.437500 1701179030.0523
MEM 457.359375 1701179030.1603
MEM 460.625000 1701179030.2683
MEM 460.625000 1701179030.3763
MEM 460.625000 1701179030.4842
MEM 460.656250 1701179030.5920
MEM 462.640625 1701179030.6999
MEM 462.656250 1701179030.8078
MEM 467.218750 1701179030.9158
MEM 469.390625 1701179031.0237
MEM 471.953125 1701179031.1316
MEM 463.718750 1701179031.2396
MEM 465.781250 1701179031.3489
MEM 470.828125 1701179031.4572
MEM 478.453125 1701179031.5606
MEM 478.468750 1701179031.6687
MEM 464.734375 1701179031.7768
MEM 468.750000 1701179031.8842
MEM 473.687500 1701179031.9922
MEM 476.390625 1701179032.1003
MEM 465.828125 1701179032.2083
MEM 465.828125 1701179032.3165
MEM 469.437500 1701179032.4247
MEM 473.828125 1701179032.5321
MEM 473.843750 1701179032.6402
MEM 464.296875 1701179032.7480
MEM 466.859375 1701179032.8540
MEM 466.859375 1701179032.9625
MEM 474.953125 1701179033.0704
MEM 477.734375 1701179033.1785
MEM 467.265625 1701179033.2864
MEM 467.265625 1701179033.3943
MEM 467.265625 1701179033.5021
MEM 466.265625 1701179033.6100
MEM 463.265625 1701179033.7179
MEM 463.265625 1701179033.8209
MEM 464.578125 1701179033.9300
MEM 468.250000 1701179034.0352
MEM 467.265625 1701179034.1433
MEM 467.687500 1701179034.2484
MEM 467.687500 1701179034.3564
MEM 469.609375 1701179034.4595
MEM 469.609375 1701179034.5674
MEM 465.625000 1701179034.6755
MEM 465.625000 1701179034.7835
MEM 469.937500 1701179034.8915
MEM 469.937500 1701179034.9995
MEM 468.953125 1701179035.1076
MEM 472.734375 1701179035.2155
MEM 483.328125 1701179035.3234
MEM 484.812500 1701179035.4314
MEM 470.828125 1701179035.5344
MEM 470.828125 1701179035.6423
MEM 478.375000 1701179035.7502
MEM 481.421875 1701179035.8581
MEM 472.203125 1701179035.9662
MEM 472.203125 1701179036.0741
MEM 479.750000 1701179036.1819
MEM 484.640625 1701179036.2900
MEM 473.656250 1701179036.3979
MEM 473.656250 1701179036.5059
MEM 474.437500 1701179036.6112
MEM 477.421875 1701179036.7192
MEM 480.515625 1701179036.8271
MEM 474.531250 1701179036.9351
MEM 474.531250 1701179037.0430
MEM 474.531250 1701179037.1509
MEM 480.421875 1701179037.2588
MEM 476.203125 1701179037.3669
MEM 476.203125 1701179037.4749
MEM 476.203125 1701179037.5829
MEM 476.203125 1701179037.6909
MEM 475.203125 1701179037.7990
MEM 475.203125 1701179037.9069
MEM 475.203125 1701179038.0148
MEM 475.203125 1701179038.1228
MEM 475.203125 1701179038.2310
MEM 475.203125 1701179038.3367
MEM 475.203125 1701179038.4448
MEM 480.015625 1701179038.5529
MEM 480.031250 1701179038.6609
MEM 476.890625 1701179038.7691
MEM 476.890625 1701179038.8730
MEM 476.890625 1701179038.9811
MEM 479.359375 1701179039.0891
MEM 476.984375 1701179039.1960
MEM 477.890625 1701179039.3012
MEM 477.890625 1701179039.4093
MEM 477.890625 1701179039.5173
MEM 477.890625 1701179039.6253
MEM 476.890625 1701179039.7334
MEM 476.890625 1701179039.8414
MEM 476.890625 1701179039.9495
MEM 476.890625 1701179040.0566
MEM 475.890625 1701179040.1627
MEM 475.890625 1701179040.2698
MEM 475.890625 1701179040.3778
MEM 476.328125 1701179040.4859
MEM 476.328125 1701179040.5942
MEM 476.328125 1701179040.7021
MEM 476.328125 1701179040.8058
MEM 476.328125 1701179040.9138
MEM 478.000000 1701179041.0218
MEM 478.015625 1701179041.1284
MEM 475.765625 1701179041.2330
MEM 476.328125 1701179041.3412
MEM 472.578125 1701179041.4480
MEM 473.296875 1701179041.5564
MEM 473.312500 1701179041.6644
MEM 473.312500 1701179041.7724
MEM 473.312500 1701179041.8810
MEM 473.312500 1701179041.9895
MEM 473.312500 1701179042.0976
MEM 472.578125 1701179042.2061
MEM 472.578125 1701179042.3202
MEM 475.906250 1701179042.4284
MEM 476.046875 1701179042.5365
MEM 474.593750 1701179042.6446
MEM 474.593750 1701179042.7526
MEM 474.593750 1701179042.8606
MEM 476.843750 1701179042.9658
MEM 476.859375 1701179043.0739
MEM 475.968750 1701179043.1821
MEM 476.406250 1701179043.2903
MEM 476.406250 1701179043.3983
MEM 476.406250 1701179043.5064
MEM 475.406250 1701179043.6143
MEM 475.406250 1701179043.7224
MEM 475.406250 1701179043.8304
MEM 475.406250 1701179043.9395
MEM 475.406250 1701179044.0433
MEM 475.406250 1701179044.1514
MEM 475.406250 1701179044.2593
MEM 475.406250 1701179044.3673
MEM 475.406250 1701179044.4754
MEM 475.406250 1701179044.5834
MEM 475.406250 1701179044.6913
MEM 475.406250 1701179044.7996
MEM 475.406250 1701179044.9056
MEM 475.406250 1701179045.0113
MEM 475.406250 1701179045.1200
MEM 475.406250 1701179045.2246
MEM 475.406250 1701179045.3332
MEM 476.250000 1701179045.4411
MEM 476.250000 1701179045.5492
MEM 476.250000 1701179045.6571
MEM 478.921875 1701179045.7650
MEM 480.750000 1701179045.8729
MEM 476.765625 1701179045.9811
MEM 476.765625 1701179046.0892
MEM 476.765625 1701179046.1973
MEM 476.765625 1701179046.3018
MEM 476.765625 1701179046.4101
MEM 476.312500 1701179046.5185
MEM 476.312500 1701179046.6266
MEM 476.859375 1701179046.7348
MEM 477.093750 1701179046.8431
MEM 476.781250 1701179046.9513
MEM 476.781250 1701179047.0580
MEM 476.843750 1701179047.1661
MEM 478.046875 1701179047.2744
MEM 478.062500 1701179047.3829
MEM 477.843750 1701179047.4910
MEM 477.843750 1701179047.5989
MEM 477.843750 1701179047.7070
MEM 477.843750 1701179047.8150
MEM 477.843750 1701179047.9230
MEM 477.843750 1701179048.0309
MEM 477.843750 1701179048.1390
MEM 477.843750 1701179048.2470
MEM 477.843750 1701179048.3550
MEM 477.843750 1701179048.4627
MEM 477.843750 1701179048.5673
MEM 477.843750 1701179048.6750
MEM 477.843750 1701179048.7804
MEM 477.843750 1701179048.8879
MEM 477.843750 1701179048.9962
MEM 477.843750 1701179049.1020
MEM 477.843750 1701179049.2102
MEM 477.843750 1701179049.3183
MEM 477.843750 1701179049.4265
MEM 477.843750 1701179049.5344
MEM 477.843750 1701179049.6393
MEM 477.843750 1701179049.7473
MEM 477.843750 1701179049.8558
MEM 477.843750 1701179049.9640
MEM 477.843750 1701179050.0719
MEM 477.843750 1701179050.1799
MEM 477.843750 1701179050.2879
MEM 477.843750 1701179050.3942
MEM 477.843750 1701179050.5017
MEM 479.390625 1701179050.6086
MEM 479.406250 1701179050.7165
MEM 477.859375 1701179050.8246
MEM 477.859375 1701179050.9325
MEM 477.859375 1701179051.0407
MEM 477.859375 1701179051.1446
MEM 477.859375 1701179051.2527
MEM 477.859375 1701179051.3585
MEM 477.859375 1701179051.4631
MEM 477.859375 1701179051.5710
MEM 477.859375 1701179051.6751
MEM 477.859375 1701179051.7832
MEM 477.859375 1701179051.8911
MEM 477.859375 1701179051.9992
MEM 477.859375 1701179052.1072
MEM 477.859375 1701179052.2153
MEM 477.859375 1701179052.3232
MEM 477.859375 1701179052.4311
MEM 477.859375 1701179052.5383
MEM 477.859375 1701179052.6463
MEM 477.859375 1701179052.7543
MEM 477.859375 1701179052.8623
MEM 477.859375 1701179052.9703
MEM 477.859375 1701179053.0787
MEM 477.859375 1701179053.1868
MEM 477.859375 1701179053.2911
MEM 477.859375 1701179053.3992
MEM 477.859375 1701179053.5075
MEM 475.953125 1701179053.6156
MEM 475.953125 1701179053.7236
MEM 475.953125 1701179053.8316
MEM 475.953125 1701179053.9364
MEM 475.953125 1701179054.0444
MEM 475.953125 1701179054.1497
MEM 475.953125 1701179054.2578
