CMDLINE python RQAOA_run_recalculations_v2.py
MEM 2360.421875 1706516151.2611
MEM 2360.562500 1706516151.4017
MEM 2360.820312 1706516151.5423
MEM 2360.953125 1706516151.6832
MEM 2361.148438 1706516151.8224
MEM 2361.406250 1706516151.9628
MEM 2361.683594 1706516152.1032
MEM 2361.683594 1706516152.2433
MEM 2361.843750 1706516152.3834
MEM 2362.101562 1706516152.5237
MEM 2362.269531 1706516152.6649
MEM 2362.269531 1706516152.8055
MEM 2362.714844 1706516152.9458
MEM 2362.714844 1706516153.0867
MEM 2362.972656 1706516153.2283
MEM 2362.972656 1706516153.3696
MEM 2363.230469 1706516153.5104
MEM 2363.488281 1706516153.6508
MEM 2363.488281 1706516153.7898
MEM 2363.746094 1706516153.9285
MEM 2364.339844 1706516154.0673
MEM 2364.597656 1706516154.2073
MEM 2364.785156 1706516154.3456
MEM 2364.976562 1706516154.4839
MEM 2365.156250 1706516154.6215
MEM 2365.156250 1706516154.7596
MEM 2365.320312 1706516154.8984
MEM 2365.320312 1706516155.0364
MEM 2365.718750 1706516155.1742
MEM 2365.718750 1706516155.3123
MEM 2365.921875 1706516155.4515
MEM 2366.371094 1706516155.5893
MEM 2366.371094 1706516155.7287
MEM 2366.371094 1706516155.8671
MEM 2366.371094 1706516156.0053
MEM 2366.433594 1706516156.1426
MEM 2367.050781 1706516156.2811
MEM 2367.050781 1706516156.4196
MEM 2367.101562 1706516156.5574
MEM 2367.484375 1706516156.6960
MEM 2367.566406 1706516156.8343
MEM 2367.726562 1706516156.9727
MEM 2367.984375 1706516157.1110
MEM 2368.156250 1706516157.2505
MEM 2368.156250 1706516157.3907
MEM 2368.414062 1706516157.5294
MEM 2368.839844 1706516157.6681
MEM 2368.839844 1706516157.8070
MEM 2369.097656 1706516157.9454
MEM 2369.355469 1706516158.0844
MEM 2369.355469 1706516158.2242
MEM 2369.503906 1706516158.3634
MEM 2369.503906 1706516158.5021
MEM 2369.863281 1706516158.6409
MEM 2370.148438 1706516158.7800
MEM 2370.316406 1706516158.9161
MEM 2370.410156 1706516159.0522
MEM 2370.718750 1706516159.1880
MEM 2370.746094 1706516159.3241
MEM 2370.960938 1706516159.4597
MEM 2371.476562 1706516159.5958
MEM 2371.972656 1706516159.7314
MEM 2372.222656 1706516159.8741
